createdAt,url,positivePrompt,negativePrompt,nsfw,nsfwLevel,browsingLevel,likeCount,dislikeCount,heartCount,cryCount,laughCount,commentCount,username,Model,Meta,VAE,Resource1,Resource2,Resource3,Resource4,Resource5,Resource6
2024-06-25T23:58:00.557Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/deabffab-9e36-4846-9c88-47769be5dba7/width=832/deabffab-9e36-4846-9c88-47769be5dba7.jpeg,"cute happy fire spirit with (red skin) and burning horns and glowing golden eyes beautiful eyes red fire hair hyper realistic high resolution wide hips eyelashes nose pupils iris lips hyper detailed sharp focus intricate details highly detailed detailed textures eyebrows red background glowing orange fingernails wear fire yukata intricate patterns of flame dance across her body fire elemental fire hands fingers flames fire aura floating in the air (holding a floating magical fiery knife) supernova fire ring earrings composed of fire elements score_9 score_8_up score_7_up score_6_up score_5_up score_4_up
TheWeirdPony alien-like creature g0thicPXL glowing neon","core_6, score_5, score_4, worst quality, low quality, text, censored, deformed, bad hand, blurry, (watermark), multiple phones, weights, bunny ears, extra hands,easynegative",False,None,1,1495,0,626,89,216,4,lord_velex,,"Size: 832x1216, Seed: 1020792640, Steps: 25, Sampler: Euler a, Version: ",N/A,,,,,,
2024-08-15T16:03:54.794Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/130e38a0-89f7-4d56-8e8d-1b7e660242a3/width=904/130e38a0-89f7-4d56-8e8d-1b7e660242a3.jpeg,An artistic image focused on the intricate details of the crab made of glossy chinese porcelain textures with purple and gold flowers patterns.A gentle touch of a human hand holding it. Use softnatural colors and a shallow depth of field,,False,None,1,1623,0,527,87,188,2,jice,flux1-schnell+dev,"Size: 904x1200, Seed: 2119850868, Steps: 4, Sampler: Euler, Version: f2.0.1v1.10.1-previous-248-gf6ef105c",N/A,"Name: flux1-schnell+dev, Type: model, Weight: N/A",,,,,
2024-08-07T08:59:40.001Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/ab170786-b5a4-48cf-85e0-4ab519588c86/width=832/ab170786-b5a4-48cf-85e0-4ab519588c86.jpeg,The image is a 3D rendering of a Bruce Lee made up of broccoli. He is in a fighting stance with his arms stretched out to the sides and his legs bent at the knees. He is holding a bunch of broccoli in his right hand and his left hand is pointing towards the right side of the image. The broccoli is a bright green color and appears to be fresh and healthy. The background is a matte gradient of colorful gray making him and the broccoli stand out.,,False,None,1,1625,0,408,74,318,1,gudarzi,,"Size: 832x1216, Seed: 2703000955, Steps: 28, Sampler: Undefined, Version: ",N/A,,,,,,
2024-05-29T18:51:47.864Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/254dda14-3109-4340-82b9-56fcb9c7d011/width=1600/254dda14-3109-4340-82b9-56fcb9c7d011.jpeg,waystone ultra detailed fantasy elden ring realistic dnd rpg lotr game design fanart by concept art behance hd artstation deviantart global illumination radiating a glowing aura global illumination ray tracing hdr render in unreal engine 5,"(deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime, mutated hands and fingers:1.4), (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, disconnected limbs, mutation, mutated, ugly, disgusting, amputation",False,None,1,1600,0,556,88,181,4,Cyberdelia,CyberRealistic_V5_FP32,"Size: 512x768, Seed: 1514132507, Steps: 25, Sampler: DPM++ 2M, Version: v1.9.4",N/A,"Name: CyberRealistic_V5_FP32, Type: model, Weight: N/A",,,,,
2024-04-08T08:53:15.264Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/aafe3329-933c-4c5d-b89a-deb13c4a4f71/width=832/aafe3329-933c-4c5d-b89a-deb13c4a4f71.jpeg,RAW profile photo close-up dark atmosphere masterpiece cinematic film still of a blonde beautiful woman detailed eyeseyeliner darkred lipstick black lace turtleneck dress tack sharp focus on eyes Sensual lustful seductive  intricate ultra detailed 8k <lora:MS_DitavT_V1_32:0.6>,"ugly, deformed, noisy, blurry, low contrast, (worst quality, low quality:1.4), (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4)",False,None,1,1438,0,694,86,207,3,AdiGrig,,"Size: 832x1216, Seed: 578530932, Steps: 60, Sampler: DPM++ 2M, Version: ",N/A,"Name: MS_DitavT_V1_32, Type: lora, Weight: 0.6",,,,,
2024-05-31T15:10:18.218Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/64e3dad6-9f1a-42a2-a6f3-6ab44c6073f5/width=1664/64e3dad6-9f1a-42a2-a6f3-6ab44c6073f5.jpeg,masterpiecebestgreat1girlsolowhite backgroundsimple backgrounddouble exposuresilhouetteempty silhouetteclose-upupper body silhouettecityscape in silhouettebuildinglong hairfrom side,"worst,worse,average,signature,",False,None,1,1618,0,554,71,181,1,Wasabiya,Eclipse_XL_v1,"Size: 832x1216, Seed: 543646265, Steps: 36, Sampler: Euler A Turbo, Version: f0.0.12-latest-150-g3cdae096",sdxl_vae.safetensors,"Name: Eclipse_XL_v1, Type: model, Weight: N/A",,,,,
2024-10-11T12:09:14.297Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/f8d9791f-ab9a-4503-9acf-4872dd075bbf/width=832/f8d9791f-ab9a-4503-9acf-4872dd075bbf.jpeg,4 marbles on a table each containing a a different element 1 with soil and plants 1 with sea waves 1 with a raging fire 1 with a tornado  on a old piece of wood hyper realistic 4k f1.8 boketh depth of field refraction reflections on wood photograph glowing glowing particles exiting the marble,,False,None,1,1661,0,496,103,163,17,Screwy,,"Size: 832x1216, Seed: 3995822280, Steps: 25, Sampler: Undefined, Version: ",N/A,,,,,,
2024-09-03T06:42:28.417Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/c3814424-42e7-47f7-8858-e83ede4c5ebc/width=832/c3814424-42e7-47f7-8858-e83ede4c5ebc.jpeg,,,False,None,1,1580,0,604,79,159,2,Resiree,,"Size: , Seed: , Steps: , Sampler: , Version: ",N/A,,,,,,
2024-08-06T06:20:24.094Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/7d7473f9-793b-4eae-9713-f1e953a84bc0/width=1536/7d7473f9-793b-4eae-9713-f1e953a84bc0.jpeg,,,False,None,1,1651,0,480,88,203,0,Mopantsu,,"Size: , Seed: 76, Steps: 20, Sampler: Euler, Version: ",N/A,,,,,,
2024-09-19T12:14:36.037Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/8b752e47-ad1a-48d9-b694-3b037e95ad55/width=832/8b752e47-ad1a-48d9-b694-3b037e95ad55.jpeg,A lone knight clad in black spiked armor stands on a cliff overlooking a ruined battlefield. The knight's armor is dented and stained with dried blood with glowing red eyes visible through the slit of his helmet. In his hand he holds a rusted sword its blade chipped and scarred. The battlefield below is littered with the broken remnants of ancient warriors and siege engines with dark clouds swirling above. The lighting is dim with an eerie red glow coming from the horizon as if the sun is bleeding into the sky. The style is dark fantasy with a haunting war-torn atmosphere.   <lora:FLUX-daubrez-DB4RZ:0.93> DB4RZ DB4RZ style painting,,False,None,1,1582,0,540,92,206,3,Rekano33,flux_dev,"Size: 832x1216, Seed: 2443065920, Steps: 20, Sampler: Euler, Version: ComfyUI",N/A,"Name: FLUX-daubrez-DB4RZ, Type: lora, Weight: 0.93",,,,,
2024-09-13T10:46:07.605Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/149d4e9a-8cfd-485c-916c-3acf1061f2f1/width=896/149d4e9a-8cfd-485c-916c-3acf1061f2f1.jpeg,,,False,None,1,1565,0,585,97,171,2,Darknoice,,"Size: , Seed: , Steps: 25, Sampler: Euler, Version: ",N/A,,,,,,
2024-07-04T18:33:52.726Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/c4b9b784-8fdc-477e-b8e3-39177d912298/width=864/c4b9b784-8fdc-477e-b8e3-39177d912298.jpeg,<lora:Women_Laughing_Alone_With_SaladPony:1> <lora:Request_Goomba_Super_Mario_Brothers_for_PonyXL:1> g00mb4 solo 1boy black eyes fangs eating salad laughing score_9 score_8_up score_7_up score_6_up score_5_up score_4_up,"score_6, score_5, score_4",False,None,1,1507,0,489,49,372,4,aiask,autismmixSDXL_autismmixPony,"Size: 864x1152, Seed: 165756114, Steps: 24, Sampler: DPM++ 2M, Version: v1.9.3",N/A,"Name: Women_Laughing_Alone_With_SaladPony, Type: lora, Weight: 1","Name: Request_Goomba_Super_Mario_Brothers_for_PonyXL, Type: lora, Weight: 1","Name: autismmixSDXL_autismmixPony, Type: model, Weight: N/A",,,
2024-09-18T20:34:44.074Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/68817916-c23c-4fab-bbb3-3b4d237efa5a/width=1080/68817916-c23c-4fab-bbb3-3b4d237efa5a.jpeg,,,True,Soft,2,1437,0,672,48,259,10,jboogx_creative,,"Size: , Seed: , Steps: , Sampler: , Version: ",N/A,,,,,,
2024-08-29T21:23:16.855Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/8aefe133-192b-4275-a53b-c5f3f4cc6c82/width=832/8aefe133-192b-4275-a53b-c5f3f4cc6c82.jpeg,A Warhammer 40k Space Marine standing in the midst of a chaotic battlefield wielding a massive heavy flamer spewing torrents of flames. Instead of the usual helmet the Space Marine has the pinkish-purple head of Courage the Cowardly Dog with his signature wide-eyed panicked expression. The battlefield is dark and apocalyptic with explosions smoke and debris swirling around. The Space Marine's armor is intricately detailed and battle-worn contrasting humorously with Courage's cartoonish pinkish-purple head. Render the entire scene in 4K with masterpiece-level detail capturing the intense atmosphere and the absurdity of Courage's terrified face on the imposing Space Marine's body. Courage is screaming with mouth open,,False,None,1,1408,0,459,100,451,8,UnstableGen,,"Size: 832x1216, Seed: 370075714, Steps: 30, Sampler: Undefined, Version: ",N/A,,,,,,
2024-07-07T20:54:17.091Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/571eceae-0e24-4611-b504-72655be7faec/width=1800/571eceae-0e24-4611-b504-72655be7faec.jpeg,score_9 score_8_up score_7_up score_6_up score_5_up score_4_up  masterpiece high quality solo crsadr knight pauldrons full armor long hair gauntlets shield pelvic curtain faulds holding weapon flail braid side cut magic holy light golden sorcery upper body in a church,"embedding:negativeXL_D, monochrome, greyscale",False,None,1,1552,0,590,66,208,0,Stellaaa,revEnginePonyxl_v10,"Size: 896x1152, Seed: 561413504, Steps: 30, Sampler: Euler a Karras, Version: ComfyUI",N/A,"Name: revEnginePonyxl_v10, Type: model, Weight: N/A",,,,,
2024-09-30T13:40:00.000Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/bbd47534-0070-40b2-848a-cc7510a573ec/width=832/bbd47534-0070-40b2-848a-cc7510a573ec.jpeg,score_9 score_8_up score_7_up score_6_up 1girl solo shadowheart selunite medium breasts white hair white cleric armor calm detailed background church window background vitrage sun shine THRD blank eyes dontstarvestyle muted colors no pupils front view hands crossed on bottom,"score_6, score_5, score_4, ugly face, shaved head, bad hands, deformed hands, too many fingers, bad legs, worst quality, low quality, censored, deformed, blurry, extra hands, black and white, greyscale, ugly hands, blood, too many hands, text, watermark, bad eyes, bad anatomy, ugly, deformed face, artifacts, spare legs, spare hands",False,None,1,1558,0,544,125,187,3,SulfurSniffer,,"Size: 832x1216, Seed: 3498164810, Steps: 19, Sampler: Euler a, Version: ",N/A,,,,,,
2024-07-08T22:03:40.634Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/549e82ba-2a09-4e3c-a505-b03adeb40648/width=1536/549e82ba-2a09-4e3c-a505-b03adeb40648.jpeg,top- down fantastical and surreal scene closeup inside of an enormous ancient book standing upright with its pages open revealing a magical portal portal inside the book pages Through the portal is a breathtaking landscape unfolds towering mountains a cascading waterfall a serene river winding through lush enchanted forests The edges of the book are adorned with intricate glowing runes and vines the book resting on obsidian floor mystical touch illuminated by a crescent moon and twinkling stars dreamlike and otherworldly atmosphere sense of adventure and wonder <lora:MJ52:0.5> <lora:add-detail-xl:1> <lora:detailed_notrigger:0.7>,"blurry, low quality, deformed, disfigured, anime, drawing, painting, illustration, comic, cartoon",False,None,1,1595,0,571,61,187,6,DreamCk,forrealxl_v05,"Size: 1024x1024, Seed: 3685533045, Steps: 16, Sampler: DDPM, Version: f0.0.17v1.8.0rc-latest-277-g0af28699",N/A,"Name: MJ52, Type: lora, Weight: 0.5","Name: add-detail-xl, Type: lora, Weight: 1","Name: detailed_notrigger, Type: lora, Weight: 0.7","Name: forrealxl_v05, Type: model, Weight: N/A",,
2024-04-29T22:29:52.245Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/3030304e-aa27-4d08-b957-1f748e98c2b6/width=832/3030304e-aa27-4d08-b957-1f748e98c2b6.jpeg,"Capturing serenity amidst boundless solitude: a powerful image of a buxom feudal ninja draped in flowing feudal garb large sedge-hat meditating in lotus position upon an endless sunless expanse. As she hovers an aura emanates from her growing in intensity as it extends beyond her Till it explodes in the far reminiscent of expanding ripples of sound. The neon hues of her aura paint the air a vivid testament to her inner strength and focus.
creating a hyperpunk scene with desaturated translucent DARK Red and beige details colorful (polaroid:0.7) with vibrant colors (vacations high resolution:1.3) (small selective focus european film:1.2) (sexual advance:1.1) closeup","easynegative, bad proportions, low resolution, bad, ugly, terrible, painting, 3d, render, comic, anime, manga, unrealistic, flat, watermark, signature, worst quality, low quality, normal quality, lowres, simple background, inaccurate limb, extra fingers, fewer fingers, missing fingers, extra arms, (extra legs:1.3), inaccurate eyes, bad composition, bad anatomy, error, extra digit, fewer digits, cropped, low res, worst quality, low quality, normal quality, jpeg artifacts, extra digit, fewer digits, trademark, watermark, artist's name, username, signature, text, words, human,",False,None,1,1488,0,604,79,241,1,Ajuro,,"Size: 832x1216, Seed: 1558854106, Steps: 45, Sampler: DPM++ 2M Karras, Version: ",N/A,,,,,,
2024-06-21T18:05:57.817Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/18010c7f-fa11-4c5f-a6ab-b10e9409e560/width=832/18010c7f-fa11-4c5f-a6ab-b10e9409e560.jpeg,artialien hyper realistic and highly detailed an otherworldly horror creature,"worst quality, 
blurred, jpeg artifacts, 
greyscale,low contrast,
nipples. nsfw, naked",False,None,1,1633,0,484,77,217,1,j2eedesigner189,,"Size: 832x1216, Seed: 1656914285, Steps: 35, Sampler: Euler, Version: ",N/A,,,,,,
2024-06-27T06:23:07.707Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/c1935299-5e94-4293-9855-2afa8d616ea3/width=832/c1935299-5e94-4293-9855-2afa8d616ea3.jpeg,,,False,None,1,1536,0,646,54,172,4,IsaBel13,,"Size: , Seed: , Steps: , Sampler: , Version: ",N/A,,,,,,
2024-11-10T21:16:57.076Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/647027e6-b0ec-4432-a72e-c00d06508a86/width=832/647027e6-b0ec-4432-a72e-c00d06508a86.jpeg,,,False,None,1,1628,0,512,102,165,4,Carcamagnu,,"Size: , Seed: , Steps: , Sampler: , Version: ",N/A,,,,,,
2024-07-29T19:10:52.301Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/83aecbb6-b5a0-4f27-b8a5-64c5b0cb93e3/width=1152/83aecbb6-b5a0-4f27-b8a5-64c5b0cb93e3.jpeg,score_9 score_8_up score_7_up score_6_up score_5_up score_4_up white dragon coming out of pond looking at viewer intricate details <lora:yum4rtXLP:0.7> yum4rt plants water flowers,,False,None,1,1555,0,621,77,153,2,CILWIN,PONY-Autism,"Size: 768x1152, Seed: 2780546059, Steps: 30, Sampler: Euler a, Version: f0.0.17v1.8.0rc-latest-277-g0af28699",N/A,"Name: yum4rtXLP, Type: lora, Weight: 0.7","Name: PONY-Autism, Type: model, Weight: N/A",,,,
2024-04-19T08:19:36.381Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/183a813b-1643-44fd-83d4-8a5aaad1b0b2/width=896/183a813b-1643-44fd-83d4-8a5aaad1b0b2.jpeg,atomic bomb explosion abocalyptic endzeit <lora:ral-apoctvisn-sdxl:1> ral-apoctvisn,,False,None,1,1417,0,561,182,246,3,RalFinger,zavychromaxl_v60,"Size: 896x1152, Seed: 2830062881, Steps: 30, Sampler: DPM++ 3M SDE Exponential, Version: f0.0.10-latest-95-gd2af6d1b",N/A,"Name: ral-apoctvisn-sdxl, Type: lora, Weight: 1","Name: zavychromaxl_v60, Type: model, Weight: N/A",,,,
2024-06-03T17:01:18.103Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/435add4e-ca5f-4acd-b7af-314c95bd0a54/width=928/435add4e-ca5f-4acd-b7af-314c95bd0a54.jpeg,(a red headed girl in a tank top ponytail braid hanging over shoulder very serious expression dainty features high cheekbones:0.6) abstract patterns of color and curve layering of complementary colors rule of thirds perfect composition (PaperCutout style:1.1),"low quality, bad image, 3D",False,None,1,1600,0,496,104,205,2,Harmil,,"Size: , Seed: , Steps: 8, Sampler: Euler a, Version: ",N/A,,,,,,
2024-04-16T16:13:19.455Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/03a3e949-1282-41e8-9190-3c8895f27588/width=832/03a3e949-1282-41e8-9190-3c8895f27588.jpeg,a legendary fruit castle in a fruit kingdom made of made of ral-fruitsalad intricate details masterpiece best quality colorful background of a London style brick wall graffiti neon lights,"low quality, low resolution, watermark, text, image artifacts, pixelated, fake, hyper, glitch, overexposed, high-contrast, bad-contrast, poorly drawn",False,None,1,1436,0,610,91,267,3,PrincessArt,,"Size: 832x1216, Seed: 2035972157, Steps: 28, Sampler: Euler, Version: ",N/A,,,,,,
2024-05-31T03:39:46.308Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/00a9c58d-7b68-49cd-8871-73bc081ae0d8/width=1664/00a9c58d-7b68-49cd-8871-73bc081ae0d8.jpeg,possumcarrying babies in the hand and on the backFantasy concept art style digital painting imaginative dynamic composition professional-grade execution creates immersive world and landscape brush strokes epic magical,,False,None,1,1464,0,591,87,261,4,green21st,,"Size: , Seed: , Steps: 4, Sampler: DPM++ SDE, Version: ",N/A,,,,,,
2024-11-05T10:30:00.000Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/5120af8c-c9a5-49ff-9110-11e354ce7dcc/width=1800/5120af8c-c9a5-49ff-9110-11e354ce7dcc.jpeg,giant geometric shape Epic stained glass window of a church Colorful glithering beautiful gothic fractal geometry on mandala Hyperdetailed by Arthur Rackham intricate details textured volumetric vivid Antoine Blanchard vibrant colours beautiful lighting perfect composition: detailed matte painting deep color fantastical intricate detail splash screen complementary colors fantasy concept art 8k resolution trending on Artstation Unreal Engine 5 . masterpiece best quality very aesthetic absurdres,"anime, cartoon, graphic, (blur, blurry, bokeh), text, painting, crayon, graphite, abstract, glitch, deformed, Easy Prompt. Artifacts. mutated,ugly,disfigured,Disgusting,DRAW,GRAYSCALE,SUN,UNREAL,",False,None,1,1617,0,435,135,214,4,HicKee,,"Size: , Seed: , Steps: 25, Sampler: Euler a, Version: ",N/A,,,,,,
2024-11-02T08:30:07.057Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/a378528c-a39a-4203-b82f-0852765f51c4/width=864/a378528c-a39a-4203-b82f-0852765f51c4.jpeg,score_9 score_8_up score_7_up score_6_up score_5_up   <lora:VIRmemeXLP:0.6> vir rain looking up 2girls tongue out tracer \(overwatch\) widowmaker \(overwatch\),"watermark, signature, artist name, twitter username, censored, child, kid, loli, 3d, realistic,",False,None,1,1411,0,480,113,398,1,freckledvixon,autismmixSDXL_autismmixPony,"Size: 864x1152, Seed: 2403315610, Steps: 20, Sampler: Euler a, Version: v1.10.1",sdxl_vae.safetensors,"Name: VIRmemeXLP, Type: lora, Weight: 0.6","Name: autismmixSDXL_autismmixPony, Type: model, Weight: N/A",,,,
2024-07-08T18:22:20.193Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/99818edc-607d-469c-a91c-22f6bb1cd9fb/width=832/99818edc-607d-469c-a91c-22f6bb1cd9fb.jpeg,,,False,None,1,1632,0,528,67,172,0,accforfun,,"Size: , Seed: , Steps: , Sampler: , Version: ",N/A,,,,,,
